Latitude,Longitude
50.066583,19.940139
50.056611,19.953278
50.083232,19.968844
50.099239,19.906304
50.06667,19.916667
50.083333,19.866667
50.05825,19.864922
50.033333,19.883333
50.016472,19.921083
49.986379,19.956869
50.012276,19.964069
50.016328,20.031162
50.041667,19.983333
50.065723,20.00879
50.099575,20.005477
50.083333,20.016667
50.101943,20.080496
50.066006,20.11439
